temp,location,clouds,pressure,rain,time_stamp,humidity,wind
42.42,Back Bay,1,1012.14,0.1228,1545003901,0.77,11.25
42.43,Beacon Hill,1,1012.15,0.1846,1545003901,0.76,11.32
42.5,Boston University,1,1012.15,0.1089,1545003901,0.76,11.07
42.11,Fenway,1,1012.13,0.0969,1545003901,0.77,11.09
43.13,Financial District,1,1012.14,0.1786,1545003901,0.75,11.49
42.34,Haymarket Square,1,1012.15,0.2068,1545003901,0.77,11.49
42.36,North End,1,1012.15,0.2088,1545003901,0.77,11.46
42.21,North Station,1,1012.16,0.2069,1545003901,0.77,11.37
42.07,Northeastern University,1,1012.12,0.102,1545003901,0.78,11.28
43.05,South Station,1,1012.12,0.1547,1545003901,0.75,11.58
42.09,Theatre District,1,1012.13,0.1428,1545003901,0.78,11.41
43.28,Back Bay,0.81,990.81,,1543347920,0.71,8.3
43.27,Beacon Hill,0.8,990.8,,1543347920,0.71,8.3
43.35,Boston University,0.82,990.82,,1543347920,0.71,8.24
43.07,Fenway,0.82,990.82,,1543347920,0.72,8.28
43.35,Financial District,0.8,990.8,,1543347920,0.71,8.35
43.2,Haymarket Square,0.8,990.79,,1543347920,0.71,8.31
43.24,North End,0.8,990.79,,1543347920,0.71,8.32
41.95,North Station,0.81,991.63,,1543347920,0.73,10.87
43.05,Northeastern University,0.81,990.82,,1543347920,0.72,8.31
43.31,South Station,0.8,990.8,0.0023,1543347920,0.71,8.36
43.05,Theatre District,0.8,990.8,,1543347920,0.72,8.34
41.89,West End,0.81,991.64,,1543347920,0.74,10.88
43.92,North Station,1,1006.29,0.0409,1543277833,0.9,10.09
43.87,Northeastern University,1,1006.24,0.0284,1543277833,0.91,9.74
39.23,Back Bay,0.83,996.09,,1543449727,0.66,10.67
39.18,Beacon Hill,0.83,996.08,,1543449727,0.67,10.69
39.23,Boston University,0.83,996.11,,1543449727,0.66,10.53
39.1,Fenway,0.83,996.11,,1543449727,0.67,10.59
39.56,Financial District,0.83,996.07,,1543449727,0.66,10.79
39.18,Haymarket Square,0.83,996.07,,1543449727,0.66,10.73
39.21,North End,0.82,996.07,,1543449727,0.66,10.75
39.1,Northeastern University,0.83,996.1,,1543449727,0.67,10.66
39.54,South Station,0.83,996.08,,1543449727,0.66,10.8
39.1,Theatre District,0.83,996.08,,1543449727,0.67,10.75
39.1,West End,0.83,996.07,,1543449727,0.67,10.69
27.27,Back Bay,0.15,1033.4,,1544787901,0.8,2.96
27.27,Beacon Hill,0.15,1033.4,,1544787901,0.81,2.99
27.07,Boston University,0.15,1033.4,,1544787901,0.8,2.84
26.88,Fenway,0.15,1033.4,,1544787901,0.81,2.88
27.26,Financial District,0.15,1033.4,,1544787901,0.81,3.07
27.34,Haymarket Square,0.15,1033.4,,1544787901,0.81,3.04
27.43,North End,0.15,1033.4,,1544787901,0.81,3.05
27.22,North Station,0.15,1033.4,,1544787901,0.81,3.01
26.93,Northeastern University,0.16,1033.4,,1544787901,0.81,2.94
27.17,South Station,0.15,1033.4,,1544787901,0.81,3.07
27.03,Theatre District,0.15,1033.4,,1544787901,0.82,3.03
45.49,Back Bay,1,1012.46,,1543253710,0.86,6.47
45.42,Beacon Hill,1,1012.47,,1543253710,0.86,6.48
45.55,Boston University,1,1012.46,,1543253710,0.85,6.43
45.64,Fenway,1,1012.46,,1543253710,0.85,6.44
45.54,Financial District,1,1012.47,,1543253710,0.85,6.5
45.42,Haymarket Square,1,1012.47,,1543253710,0.86,6.5
45.43,North End,1,1012.47,,1543253710,0.86,6.51
45.47,North Station,1,1012.47,,1543253710,0.86,6.5
45.69,Northeastern University,1,1012.46,,1543253710,0.85,6.46
45.61,South Station,1,1012.47,,1543253710,0.85,6.5
45.55,Theatre District,1,1012.47,,1543253710,0.85,6.49
45.46,West End,1,1012.47,,1543253710,0.86,6.49
45.52,South Station,0.89,1000.08,,1543830779,0.95,1.39
45.98,Back Bay,0.99,1021.67,,1544870701,0.9,5.58
45.98,Beacon Hill,0.99,1021.65,,1544870701,0.9,5.64
46.11,Boston University,0.99,1021.67,,1544870701,0.89,5.51
46.83,Financial District,0.99,1021.65,,1544870701,0.87,5.68
45.94,Haymarket Square,0.99,1021.65,,1544870701,0.9,5.69
45.97,North End,0.99,1021.64,,1544870701,0.9,5.7
45.86,North Station,0.99,1021.64,,1544870701,0.9,5.68
45.65,Northeastern University,0.99,1021.68,,1544870701,0.91,5.53
45.68,Theatre District,0.99,1021.66,,1544870701,0.91,5.64
45.78,West End,0.99,1021.65,,1544870701,0.91,5.66
44.34,Back Bay,0.19,1029.99,,1544813101,0.61,3.39
44.18,Beacon Hill,0.19,1029.99,,1544813101,0.61,3.39
44.25,Boston University,0.2,1029.98,,1544813101,0.61,3.38
44.53,Fenway,0.2,1029.98,,1544813101,0.61,3.38
44.55,Financial District,0.18,1030,,1544813101,0.6,3.4
44.37,Haymarket Square,0.19,1030,,1544813101,0.61,3.4
44.37,North End,0.18,1030,,1544813101,0.61,3.4
44.44,North Station,0.19,1029.99,,1544813101,0.61,3.39
44.47,Theatre District,0.19,1029.99,,1544813101,0.61,3.39
44.41,West End,0.19,1029.99,,1544813101,0.61,3.39
40.01,Back Bay,0.95,1000.9,,1545068701,0.81,6.46
39.78,Beacon Hill,0.95,1000.89,,1545068701,0.81,6.44
40.15,Boston University,0.94,1000.91,,1545068701,0.8,6.44
40.27,Fenway,0.94,1000.91,,1545068701,0.8,6.47
39.89,Financial District,0.96,1000.89,,1545068701,0.81,6.46
39.85,Haymarket Square,0.95,1000.89,,1545068701,0.81,6.43
39.82,North End,0.96,1000.89,,1545068701,0.81,6.43
39.92,North Station,0.95,1000.89,,1545068701,0.81,6.42
40.17,Northeastern University,0.94,1000.91,,1545068701,0.8,6.49
39.9,South Station,0.95,1000.9,,1545068701,0.81,6.47
39.92,Theatre District,0.95,1000.9,,1545068701,0.81,6.46
39.56,West End,0.95,1000.87,,1545068701,0.81,6.49
38.59,Back Bay,0.75,996.83,,1543451968,0.69,11.01
38.55,Beacon Hill,0.75,996.82,,1543451968,0.69,11.05
38.62,Boston University,0.74,996.85,,1543451968,0.69,10.84
38.35,Fenway,0.75,996.86,,1543451968,0.7,10.9
38,Financial District,0.76,996.81,,1543451968,0.71,11.17
38.52,Haymarket Square,0.75,996.8,,1543451968,0.69,11.11
38.55,North End,0.75,996.8,,1543451968,0.69,11.13
38.44,North Station,0.75,996.8,,1543451968,0.69,11.07
38.32,Northeastern University,0.75,996.85,,1543451968,0.7,10.99
37.94,South Station,0.76,996.81,,1543451968,0.71,11.19
38.35,Theatre District,0.76,996.82,,1543451968,0.7,11.12
38.39,West End,0.75,996.81,,1543451968,0.69,11.06
36.33,Beacon Hill,0.29,1001.77,,1545101102,0.69,10.03
37,Financial District,0.29,1001.76,,1545101102,0.67,10.1
36.16,West End,0.29,1001.85,,1545101102,0.7,10.01
36.78,Back Bay,0.42,1023.64,,1543708374,0.76,2.47
36.74,Boston University,0.44,1023.65,,1543708374,0.76,2.43
36.65,Fenway,0.44,1023.64,,1543708374,0.76,2.43
35.54,Financial District,0.4,1023.64,,1543708374,0.8,2.52
36.78,Haymarket Square,0.4,1023.64,,1543708374,0.76,2.52
36.82,North End,0.4,1023.64,,1543708374,0.76,2.53
36.74,North Station,0.4,1023.64,,1543708374,0.76,2.51
36.68,Northeastern University,0.43,1023.64,,1543708374,0.76,2.45
36.69,Theatre District,0.41,1023.64,,1543708374,0.76,2.5
33.71,Back Bay,0.12,991.21,,1543398556,0.82,5.36
33.67,Beacon Hill,0.12,991.2,,1543398556,0.82,5.37
33.79,Boston University,0.13,991.22,,1543398556,0.82,5.29
33.48,Fenway,0.13,991.22,,1543398556,0.83,5.33
33.76,Financial District,0.12,991.2,,1543398556,0.82,5.42
33.51,Haymarket Square,0.12,991.2,,1543398556,0.83,5.39
33.54,North End,0.12,991.2,,1543398556,0.83,5.4
33.46,North Station,0.12,991.2,,1543398556,0.83,5.37
33.4,Northeastern University,0.13,991.22,,1543398556,0.83,5.37
33.76,South Station,0.12,991.21,,1543398556,0.82,5.43
33.38,Theatre District,0.12,991.21,,1543398556,0.83,5.41
33.41,West End,0.12,991.2,,1543398556,0.83,5.37
51.7,Beacon Hill,0.9,1021.3,,1544899502,0.73,5.55
51.99,Fenway,0.92,1021.29,,1544899502,0.73,5.41
52.14,Financial District,0.9,1021.3,,1544899502,0.72,5.6
52.17,South Station,0.9,1021.29,,1544899502,0.72,5.6
51.97,Theatre District,0.91,1021.29,,1544899502,0.73,5.56
51.94,West End,0.9,1021.31,,1544899502,0.73,5.57
25.4,Back Bay,0.76,1006.33,,1545129901,0.52,17.96
25.7,Beacon Hill,0.8,1006.69,,1545129901,0.53,17.88
25.5,Boston University,0.79,1006.25,,1545129901,0.52,17.81
25.74,Financial District,0.77,1006.3,,1545129901,0.52,18.11
25.37,Haymarket Square,0.77,1006.3,,1545129901,0.53,18.16
25.42,North End,0.77,1006.29,,1545129901,0.53,18.18
25.4,North Station,0.8,1006.2,,1545129901,0.53,18.09
24.36,Northeastern University,0.69,1006.3,,1545129901,0.54,17.84
25.67,South Station,0.77,1006.3,,1545129901,0.52,18.08
25.13,Theatre District,0.77,1006.31,,1545129901,0.53,18.04
25.18,West End,0.77,1006.31,,1545129901,0.53,18.12
28.83,Back Bay,0.27,1021.48,,1544409657,0.6,5.11
28.81,Beacon Hill,0.27,1021.48,,1544409657,0.6,5.16
28.84,Boston University,0.27,1021.48,,1544409657,0.6,5.02
28.66,Fenway,0.27,1021.48,,1544409657,0.6,5.03
28.81,Financial District,0.28,1021.48,,1544409657,0.6,5.21
28.82,Haymarket Square,0.28,1021.47,,1544409657,0.6,5.22
28.86,North End,0.28,1021.47,,1544409657,0.6,5.24
28.78,North Station,0.28,1021.47,,1544409657,0.6,5.2
28.71,Northeastern University,0.27,1021.48,,1544409657,0.6,5.06
28.83,South Station,0.28,1021.48,,1544409657,0.6,5.2
28.76,Theatre District,0.28,1021.48,,1544409657,0.6,5.17
28.72,West End,0.28,1021.47,,1544409657,0.6,5.19
42.89,Boston University,0.98,1024.62,,1544845502,0.88,5.93
42.66,West End,0.98,1024.61,,1544845502,0.89,6.03
40.65,Back Bay,0.93,1013.76,,1543209183,0.92,3.01
40.69,North End,0.93,1013.77,,1543209183,0.92,3.02
40.46,Northeastern University,0.92,1013.75,,1543209183,0.93,3.06
40.52,Theatre District,0.93,1013.76,,1543209183,0.93,3.1
40.42,Beacon Hill,0.92,1013.8,,1543210083,0.93,2.69
40.45,North End,0.92,1013.8,,1543210083,0.93,2.71
40.35,North Station,0.92,1013.8,,1543210083,0.93,2.66
